Year,Country,REER,Nominal,Exports,Imports
2015,Argentina,,,"63671789068,8987","70064879911,7042"
2016,Argentina,,,"69842604407,3878","75639254067,6608"
2017,Argentina,,,"72860557902,7631","89910495566,9384"
2018,Argentina,,,"75766598613,0197","85681309473,2328"
2019,Argentina,,,"80259482469,139","65845624691,108"
2020,Argentina,,"70,5391666666667","64053810078,3073","52454091268,1886"
2021,Argentina,,"94,9907416666667","87906118244,6601","73042905138,0607"
2022,Argentina,,"130,61655","103224756800,251","96991607940,8038"
2023,Argentina,,"296,258041666667","83276004574,7551","89980573297,99"
2024,Argentina,,"914,694883333333","97349127043,1651","80944817978,281"
2025,Argentina,,,,
2015,Bolivia,,,"10186598885,6729","12231374703,3285"
2016,Bolivia,,,"8311504862,51809","10831641432,7062"
2017,Bolivia,,,"8973701186,68596","11958240289,4356"
2018,Bolivia,,,"9854706136,03473","12864160303,9074"
2019,Bolivia,,,"9834601157,7424","12643630390,7381"
2020,Bolivia,"158,995010085876","6,91","7139077206,94645","8735545774,24023"
2021,Bolivia,"152,444238882632","6,91","11276448089,725","11545547250,3618"
2022,Bolivia,"151,256446295682","6,91","14163562908,8278","15150615137,4819"
2023,Bolivia,"148,808082568095","6,91","11725676874,0955","14239423386,3965"
2024,Bolivia,"156,578261774764","6,91","11763846801,7366","14018232749,6382"
2025,Bolivia,,,,
2015,Brasil,,,"232488797699,731","253272683229,75"
2016,Brasil,,,"223863316065,497","216686360894,163"
2017,Brasil,,,"258330740894,672","243510550194,841"
2018,Brasil,,,"280543238553,765","272994437656,194"
2019,Brasil,,,"264562972885,655","276634806846,042"
2020,Brasil,"55,584763739914","5,15517878751281","242872081037,195","233941255872,595"
2021,Brasil,"53,7903657925175","5,39440078962503","319251213851,504","309853321037,194"
2022,Brasil,"60,414853970559","5,16397029102111","383177580523,381","374482461947,998"
2023,Brasil,"63,3298908202872","4,99437976287199","393731591579,688","343939899556,732"
2024,Brasil,"60,696589417127","5,3889349057096","392105352908,42","385708875013,773"
2025,Brasil,,,,
2015,Chile,,,"70773876095,187","73118253440,0511"
2016,Chile,,,"69624960593,4583","70152436857,04"
2017,Chile,,,"78238304038,8391","76480320653,8888"
2018,Chile,,,"84405336511,8622","87715867712,6773"
2019,Chile,,,"77571035535,566","82753869493,5382"
2020,Chile,"84,6076165903281","792,727206103169","79592399892,9982","68216603050,3731"
2021,Chile,"87,496171490262","758,955378658977","100881456731,022","103693579744,009"
2022,Chile,"84,557304596244","873,314189543014","107256627010,034","119270630866,653"
2023,Chile,"91,9514998658835","840,066526651499","103376675915,93","100365735356,338"
2024,Chile,"84,1580702141999","943,572167421488","111377047470,18","99531074992,5925"
2025,Chile,,,,
2015,Colombia,,,"45932176699,4658","66653739135,9689"
2016,Colombia,,,"41608310926,5839","60743865896,6273"
2017,Colombia,,,"47233141871,792","62802582423,5139"
2018,Colombia,,,"53136579844,9701","68961912988,8708"
2019,Colombia,,,"51258795210,3544","70067176051,0406"
2020,Colombia,"67,9964956184507","3693,27583333333","36557247848,5389","55511423806,5089"
2021,Colombia,"65,814907552942","3744,24416666667","51591453811,2973","76006795312,1819"
2022,Colombia,"62,7816633477161","4256,19416666667","70468824548,812","96411719930,8215"
2023,Colombia,"66,6798406589226","4325,955","65315982251,3179","82622449840,5554"
2024,Colombia,"74,5842554440343","4074,43416666667","67426785840,6166","87642599036,7462"
2025,Colombia,,,,
2015,Costa Rica,,,"16930125461,6434","17360351863,9063"
2016,Costa Rica,,,"18395634999,8843","18194546245,8196"
2017,Costa Rica,,,"19826679964,5097","19552292622,0081"
2018,Costa Rica,,,"21059634092,1627","20727758848,7705"
2019,Costa Rica,,,"22111572547,4852","20249829012,3889"
2020,Costa Rica,"107,866381400048","584,900854962304","19908254085,7288","17616395250,9524"
2021,Costa Rica,"97,9974405250093","620,784720014081","23500424068,9107","22479844457,5118"
2022,Costa Rica,"99,8768263921133","647,135817631363","29362895414,1741","27574429707,1191"
2023,Costa Rica,"114,976138703437","544,050775505632","33661220608,3867","29025566715,6699"
2024,Costa Rica,"119,074173698024","515,109771921403","36740228685,0811","31274194799,5892"
2025,Costa Rica,,,,
2015,Cuba,,,"14941000000,0","12605000000,0"
2016,Cuba,,,"13689600000,0","11226300000,0"
2017,Cuba,,,"14093000000,0","11303600000,0"
2018,Cuba,,,"14530000000,0","12567100000,0"
2019,Cuba,,,"12632000000,0","10971100000,0"
2020,Cuba,,,"8769000000,0","8067000000,0"
2021,Cuba,,,,
2022,Cuba,,,,
2023,Cuba,,,,
2024,Cuba,,,,
2025,Cuba,,,,
2015,Ecuador,,,"22119535000,0","24373891000,0"
2016,Ecuador,,,"20061020000,0","19529599000,0"
2017,Ecuador,,,"22445453000,0","23120886000,0"
2018,Ecuador,,,"25304707000,0","26295241000,0"
2019,Ecuador,,,"25875328000,0","25859813000,0"
2020,Ecuador,,"1,0","22320897000,0","19849664000,0"
2021,Ecuador,,"1,0","29009062000,0","28075880000,0"
2022,Ecuador,,"1,0","35914453000,0","35949643000,0"
2023,Ecuador,,"1,0","34606783000,0","34444318000,0"
2024,Ecuador,,"1,0","37750170800,0","33568458200,0"
2025,Ecuador,,,,
2015,El Salvador,,,"6911040000,0","11033340000,0"
2016,El Salvador,,,"6884540000,0","10731440000,0"
2017,El Salvador,,,"7251400000,0","11309300000,0"
2018,El Salvador,,,"7528970000,0","12151540000,0"
2019,El Salvador,,,"8052490000,0","12388470000,0"
2020,El Salvador,,"1,0","6112370000,0","10450130000,0"
2021,El Salvador,,"1,0","8359050000,0","15411330000,0"
2022,El Salvador,,"1,0","10336590000,0","17932560000,0"
2023,El Salvador,,"1,0","10629170000,0","17034500000,0"
2024,El Salvador,,"1,0","11585810000,0","18354040000,0"
2025,El Salvador,,,,
2015,Guatemala,,,"12331439231,3857","18695335889,8941"
2016,Guatemala,,,"12387053734,7875","18243717862,3981"
2017,Guatemala,,,"13252394991,303","19758074270,8942"
2018,Guatemala,,,"13323267942,6505","21149627997,2577"
2019,Guatemala,,,"13591570047,3112","21534755007,9268"
2020,Guatemala,,"7,72165","12702168189,4414","19272211289,038"
2021,Guatemala,,"7,73438833333333","15241812021,8432","27347172019,2987"
2022,Guatemala,,"7,74824375","18119750229,8585","33938882319,6585"
2023,Guatemala,,"7,83197416666667","17331723649,7465","33075327816,4611"
2024,Guatemala,,"7,7585375","17990664478,2819","35602767957,0558"
2025,Guatemala,,,,
2015,Honduras,,,"9475891625,38007","13027957170,5398"
2016,Honduras,,,"9276480535,29014","12401102552,2292"
2017,Honduras,,,"9970301123,80064","13585432742,5235"
2018,Honduras,,,"9977241928,20167","14945193703,4133"
2019,Honduras,,,"10007373348,5297","14740482898,6338"
2020,Honduras,,"24,5818805172846","8377646120,73421","12172518449,6662"
2021,Honduras,,"24,0166553242681","11079128213,317","18014411249,1935"
2022,Honduras,,"24,4858737291131","13336955013,3273","22079730541,7809"
2023,Honduras,,"24,6016468236818","12838311191,1166","21102469277,7683"
2024,Honduras,,"24,7992824415521","12444557870,6674","21351448804,042"
2025,Honduras,,,,
2015,México,,,"414495031033,993","439821695268,006"
2016,México,,,"409476294705,042","432376614131,825"
2017,México,,,"446688309687,408","469597181245,762"
2018,México,,,"490508969545,438","517202845542,861"
2019,México,,,"502467566320,434","507718819549,77"
2020,México,"77,0957305626512","21,4856083333333","439853932827,966","421735413258,959"
2021,México,"81,6434355166191","20,2724083333333","534121610565,454","559543398297,824"
2022,México,"86,0234870310712","20,12735","629788673074,2","672827146643,746"
2023,México,"100,03683857838","17,7587166666667","648642274776,945","674539330290,583"
2024,México,"100,2113992336","18,3048583333333","681348718684,406","703294122576,641"
2025,México,,,,
2015,Nicaragua,,,"5113365846,26724","7412965477,11226"
2016,Nicaragua,,,"5165902337,59438","7298277150,85188"
2017,Nicaragua,,,"5698946072,93662","7587978452,98755"
2018,Nicaragua,,,"5506692298,07729","6735028772,98197"
2019,Nicaragua,,,"5689725118,64939","6252718088,9775"
2020,Nicaragua,"95,9688514458804","34,3421221197024","5312785103,96067","5967676880,88698"
2021,Nicaragua,"93,0301008332652","35,1710166666667","6593588345,76777","8497441441,62792"
2022,Nicaragua,"97,1497468942447","35,874421141967","7800991076,62253","10249854373,9563"
2023,Nicaragua,"98,7281016102565","36,4411942796586","8163866826,09796","10532819127,7157"
2024,Nicaragua,"100,963799728453","36,6243","7968788634,86811","11434873062,4203"
2025,Nicaragua,,,,
2015,Panamá,,,"26426478300,0","27433598900,0"
2016,Panamá,,,"24944633900,0","25491123600,0"
2017,Panamá,,,"26677342700,0","27388495500,0"
2018,Panamá,,,"28506576356,7922","29473747537,6633"
2019,Panamá,,,"28061045272,5593","28061255725,4778"
2020,Panamá,,"1,0","20695086041,1656","18505270156,1452"
2021,Panamá,,"1,0","28041417544,0438","25965646116,5008"
2022,Panamá,,"1,0","36730407983,9939","34758827459,4677"
2023,Panamá,,"1,0","38242852826,798","35804273222,3299"
